Id_Ente;Latitudine;Longitudine;TipologiaSoggetti;Codifica;CategoriaEnte;SottoCategoriaEnte;DenominazioneEnte;Indirizzo;Cap;Comune;Socio_1;Socio_2;Socio_3
17167;41,0757;14,3379;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0391 - Societa e fondazioni a partecipazione regionale;Terra di Lavoro S.p.A.;via ceccano, 24A;81100;Caserta;PROVINCIA DI CASERTA 100%;;
28675;41,3262;14,3918;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE PARCO REGIONALE DEL MATESE;Piazza della Vittoria, 31;81016;San Potito Sannitico;REGIONE CAMPANIA 100%;;
17169;40,2306;15,2641;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;YELE S.p.A. Vallo della Lucania (SA);LARGO CALCINALI, 3;84078;VALLO DELLA LUCANIA;CONSORZIO PER LA COSTITUZIONE E LA GESTIONE DEGLI IMPIANTI DI SMALTIMENTO DEI RIFIUTI SOLIDI URBANI - CONSORZIO 84,13%;COMUNE DI VALLO DELLA LUCANIA 6,45%;CONSORZIO PER LA COSTITUZIONE E LA GESTIONE DEGLI IMPIANTI DI SMALTIMENTO DEI RIFIUTI SOLIDI URBANI - CONSORZIO 84,13% COMUNE DI VALLO DELLA LUCANIA 6,45%%
28676;40,878;15,186;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;CONSORZIO DEI SERVIZI SOCIALI ALTA IRPINIA;Via Torricella, 5;83047;Lioni;;;
19903;40,7418;14,568;Imprese pubbliche locali;c;022 - Aziende e istituzioni;0222 - Aziende e istituzioni di livello sub-regionale;Angri Eco Servizi - Azieda speciale di Ente locale;VIA CROCIFISSO, 23;84013;ANGRI;COMUNE DI ANGRI 100%;;
28677;40,6848;14,4886;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE PARCO REGIONALE MONTI LATTARI;VIALE IPPOCASTANI;80053;CASTELLAMMARE DI STABIA;REGIONE CAMPANIA 100%;;
28679;40,8107;14,6226;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;PARCO REGIONALE DEL BACINO IDROGRAFICO DEL FIUME SARNO;Via Lanzara, 27;84087;Sarno;REGIONE CAMPANIA 100%;;
19912;40,5508;14,243;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Capri Servizi S.r.l.;PIAZZA UMBERTO I;80073;CAPRI;COMUNE DI CAPRI 100%;;
28680;41,0242;13,9465;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ENTE RISERVE NATURALI REGIONALI FOCE VOLTURNO, COSTA LICOLA E LAGO FALCIANO;Via Giotto, 12;81030;Castel Volturno;REGIONE CAMPANIA 100%;;
28681;40,84;14,2544;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;ASSOCIAZIONE TEATRO STABILE DELLA CITTA' DI NAPOLI;Piazza Francese, 46;80133;NAPOLI;COMUNE DI NAPOLI 33,33%;REGIONE CAMPANIA 16,66%;PROVINCIA DI NAPOLI 16,66%
19914;40,8876;14,3413;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Centro Agro-Alimentare di Napoli S.C.p.A.;Via Palazziello;80040;VOLLA;COMUNE DI NAPOLI 70,33%;CAMERA DI COMMERCIO DI NAPOLI 9,09%;INTESA SANPAOLO S.P.A. 6,6%
28748;40,6633;14,4254;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;SERVIZI VICOPHARMA S.P.A.;corso Filangieri, 98;80069;VICO EQUENSE;SOC.I.GE.SS.-SOCIETA' INTERCOMUNALE DI GESTIONE SERVIZI SOCIO- SANITARI PER AZIONI IN BREVE: SOC. 70%;COMUNE DI VICO EQUENSE 30%;
19916;40,9452;14,2686;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;Consorzio Cimiteriale tra i Comuni di Frattamaggiore, Grumo Nevano e Frattaminore;Via Lupoli;80027;FRATTAMAGGIORE;COMUNE DI FRATTAMAGGIORE;COMUNE DI GRUMO NEVANO;COMUNE DI FRATTAMINORE
28971;41,072;14,3345;Amministrazioni Locali;a;019 - Enti dipendenti;0192 - Enti dipendenti di livello sub-regionale;I.R.V.A.T. (Istituto per la valorizzazione e la tutela dei prodotti regionali);Corso Trieste, 133;81100;Caserta;;;
17026;40,8579;14,2766;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;ACaMIR a Agenzia Campana Mobilita, Infrastrutture e Reti;Via Porzio;80143;NAPOLI;REGIONE CAMPANIA 100%;;
17043;40,5506;14,243;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.C.S.T. Capri (NA);PIAZZETTA CERIO, 11;80073;CAPRI;REGIONE CAMPANIA 100%;;
17044;40,7008;14,4843;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.C.S.T. Castellammare di Stabia (NA);PIAZZA MATTEOTTI, 34;80053;CASTELLAMMARE DI STABIA;REGIONE CAMPANIA 100%;;
17045;40,7371;13,9491;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.C.S.T. Ischia Procida (NA);Via Antonio Sogliuzzo, 72;80077;ISCHIA;REGIONE CAMPANIA 100%;;
17046;40,8215;14,1224;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.C.S.T. Pozzuoli (NA);Largo Matteotti, 1/A;80078;POZZUOLI;REGIONE CAMPANIA 100%;;
17047;40,6339;14,6035;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.S.T. Amalfi (SA);CORSO REP. MARINARE, 27;84011;AMALFI;REGIONE CAMPANIA 100%;;
17048;40,7001;14,7078;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.S.T. Cava dei Tirreni (SA);Corso Umberto I, 208;84013;SALERNO;REGIONE CAMPANIA 100%;;
17049;40,6509;14,6422;Amministrazioni Regionali;b;019 - Enti dipendenti;0191 - Enti dipendenti di livello regionale;A.A.S.T. Maiori (SA);CORSO REGINA, 73;84010;MAIORI;REGIONE CAMPANIA 100%;;
28902;40,8415;14,2556;Imprese pubbliche locali;c;041 - Enti non altrove classificati;0412 - Enti non altrove classificati di livello sub-regionale;CONSORZIO PER LO SVILUPPO E IL TRASFERIMENTO DI TECNOLOGIE E    PER LA REALIZZAZIONE DI SERVIZI NEL;VICO II SAN NICOLA ALLA DOGANA, 9;80133;Napoli;ARCHLIVING SRL;TEST AND MANIFACTURING SRL;ENEA
19920;40,8285;14,1561;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;ASIA Napoli S.p.A.;Via Antiniana, 2/A;80078;POZZUOLI;COMUNE DI NAPOLI 100%;;
28903;40,7555;14,6187;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;CONSORZIO ORTOFRUTTICOLO DELL'AGRO NOCERINO SARNESE - SOCIETA' COOPERATIVA;via mangioni;84016;Pagani;IN LIQUIDAZIONE (29/10/2016);;
19925;40,7052;14,7032;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;Consorzio di Bacino Salerno 1;Viale Marconi, 55;84013;Cava de' Tirreni;IN LIQUIDAZIONE (04/5/2010);;
28913;40,9229;14,3103;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;AFRAGOL@NET S.R.L. UNIPERSONALE;piazza municipio, 1;80021;Afragola;Comune di Afragola 100%;;
19926;40,8579;14,2766;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0211 - Forme associative di livello regionale;Consorzio per la Ricerca Applicata in Agricoltura;VIA G. PORZIO;80143;NAPOLI;CIRIO RICERCHE;UNIVERSITA' DEGLI STUDI DI SALERNO;UNIVERSITA' DEGLI STUDI FEDERICO II
28914;40,8575;14,2771;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;ASMENET CAMPANIA SOC. CONS. A R. L.;via G. Porzio, 4;80143;Napoli;COMUNE DI FRATTAMAGGIORE 4,87%;COMUNE DI CASTELLAMMARE 3,27%;
17065;40,845;14,2619;Amministrazioni Locali;a;028 - Autorita ed Enti portuali;0282 - Autorita ed Enti portuali;Autorita Portuale Napoli;PIAZZALE PISACANE;80133;NAPOLI;;;
19933;40,8466;14,2513;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0391 - Societa e fondazioni a partecipazione regionale;Film Commission Regione Campania S.C.a r.l. Onlus;Calata Trinita Maggiore, 53;80100;NAPOLI;REGIONE CAMPANIA 100%;;
28916;40,7921;14,6008;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;SAN VALENTINO SERVIZI;via matteotti , 13;84010;san valentino torio;COMUNE SAN VALENTINO TORIO;;
17066;40,6772;14,7617;Amministrazioni Locali;a;028 - Autorita ed Enti portuali;0282 - Autorita ed Enti portuali;Autorita Portuale Salerno;via Roma, 29;84121;SALERNO;;;
19935;40,5372;15,455;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;M.I.D.A. MUSEI INTEGRATI DELL'AMBIENTE;Via Muraglione, 18-20;84030;PERTOSA;;;
